開始日時：2018/05/08 11:49:07
棋戦：R対局(15分)
手合割：平手
先手：pippitarou(1197)
後手：Hefeweizen(2863)
手数----指手---------消費時間--
1 ９六歩(97)   ( 0:04/00:00:04)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:02/00:00:06)
4 ８四歩(83)   ( 0:21/00:00:42)
5 ２六歩(27)   ( 0:02/00:00:08)
6 ３二金(41)   ( 0:03/00:00:45)
7 ２五歩(26)   ( 0:03/00:00:11)
8 ８五歩(84)   ( 0:22/00:01:07)
9 ７八金(69)   ( 0:03/00:00:14)
10 ８六歩(85)   ( 0:03/00:01:10)
11 ８六歩(87)   ( 0:01/00:00:15)
12 ８六飛(82)   ( 0:03/00:01:13)
13 ２四歩(25)   ( 0:01/00:00:16)
14 ２四歩(23)   ( 0:02/00:01:15)
15 ２四飛(28)   ( 0:01/00:00:17)
16 ７六飛(86)   ( 0:03/00:01:18)
17 ２二角成(88)   ( 0:04/00:00:21)
18 ２二銀(31)   ( 0:22/00:01:40)
19 ８二歩打     ( 0:04/00:00:25)
20 ８二銀(71)   ( 0:22/00:02:02)
21 ６五角打     ( 0:04/00:00:29)
22 ８六飛(76)   ( 0:22/00:02:24)
23 ８七歩打     ( 0:05/00:00:34)
24 ３三角打     ( 0:03/00:02:27)
25 ２二飛成(24)   ( 0:03/00:00:37)
26 ２二角(33)   ( 0:07/00:02:34)
27 ８六歩(87)   ( 0:04/00:00:41)
28 ９九角成(22)   ( 0:03/00:02:37)
29 ７七桂(89)   ( 0:11/00:00:52)
30 ２二飛打     ( 0:02/00:02:39)
31 ４三角成(65)   ( 0:45/00:01:37)
32 ４三金(32)   ( 0:02/00:02:41)
33 ３一飛打     ( 0:02/00:01:39)
34 ６二玉(51)   ( 0:03/00:02:44)
35 ２三歩打     ( 0:04/00:01:43)
36 ５二飛(22)   ( 0:02/00:02:46)
37 ２一飛成(31)   ( 0:03/00:01:46)
38 ３三角打     ( 0:03/00:02:49)
39 ６六銀打     ( 0:30/00:02:16)
40 ９八馬(99)   ( 0:23/00:03:12)
41 ５五桂打     ( 0:14/00:02:30)
42 ５四馬(98)   ( 0:23/00:03:35)
43 ６五桂(77)   ( 0:34/00:03:04)
44 ５五角(33)   ( 0:22/00:03:57)
45 ５五銀(66)   ( 0:17/00:03:21)
46 ５五馬(54)   ( 0:02/00:03:59)
47 ４一角打     ( 0:07/00:03:28)
48 ５一飛(52)   ( 0:21/00:04:20)
49 ２二歩成(23)   ( 1:12/00:04:40)
50 ４六歩打     ( 0:22/00:04:42)
51 ４六歩(47)   ( 0:46/00:05:26)
52 ４七桂打     ( 0:02/00:04:44)
53 ４八玉(59)   ( 0:01/00:05:27)
54 ３九桂成(47)   ( 0:03/00:04:47)
55 ３九玉(48)   ( 0:05/00:05:32)
56 ６五馬(55)   ( 0:03/00:04:50)
57 １一龍(21)   ( 0:13/00:05:45)
58 ４七銀打     ( 0:23/00:05:13)
59 ５六桂打     ( 0:04/00:05:49)
60 ２七銀打     ( 0:23/00:05:36)
61 ４八金(49)   ( 0:10/00:05:59)
62 ２六桂打     ( 0:02/00:05:38)
63 ４九玉(39)   ( 1:01/00:07:00)
64 ３八桂成(26)   ( 0:02/00:05:40)
65 ５九玉(49)   ( 0:04/00:07:04)
66 ４八成桂(38)   ( 0:02/00:05:42)
67 ６八玉(59)   ( 0:02/00:07:06)
68 ５八成桂(48)   ( 0:01/00:05:43)
69 ７七玉(68)   ( 0:02/00:07:08)
70 ７五香打     ( 0:02/00:05:45)
71 ８八玉(77)   ( 0:03/00:07:11)
72 ９八金打     ( 0:01/00:05:46)
73 投了
