開始日時：2018/05/08 12:04:27
棋戦：R対局(早指2)
手合割：平手
先手：Hefeweizen(2863)
後手：SShina7(2656)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:22/00:00:22)
2 ３四歩(33)   ( 0:28/00:00:28)
3 ２五歩(26)   ( 0:22/00:00:44)
4 ３二銀(31)   ( 0:29/00:00:57)
5 ２四歩(25)   ( 0:22/00:01:06)
6 ２四歩(23)   ( 0:02/00:00:59)
7 ２四飛(28)   ( 0:03/00:01:09)
8 ３一金(41)   ( 0:02/00:01:01)
9 ２八飛(24)   ( 0:22/00:01:31)
10 ４四角(22)   ( 0:12/00:01:13)
11 ４八銀(39)   ( 0:22/00:01:53)
12 ３三銀(32)   ( 0:04/00:01:17)
13 ２四歩打     ( 0:03/00:01:56)
14 ２二歩打     ( 0:13/00:01:30)
15 ７六歩(77)   ( 0:02/00:01:58)
16 ３五角(44)   ( 0:04/00:01:34)
17 ２三歩成(24)   ( 0:23/00:02:21)
18 投了
