開始日時：2018/05/08 12:09:26
棋戦：R対局(早指2)
手合割：平手
先手：SShina7(2648)
後手：Hefeweizen(2871)
手数----指手---------消費時間--
1 ５六歩(57)   ( 0:12/00:00:12)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:06/00:00:18)
4 ３四歩(33)   ( 0:04/00:00:25)
5 ５五歩(56)   ( 0:03/00:00:21)
6 ４二玉(51)   ( 0:22/00:00:47)
7 ５八飛(28)   ( 0:03/00:00:24)
8 ３二玉(42)   ( 0:02/00:00:49)
9 ４八玉(59)   ( 0:08/00:00:32)
10 １四歩(13)   ( 0:03/00:00:52)
11 １六歩(17)   ( 0:03/00:00:35)
12 ６二銀(71)   ( 0:03/00:00:55)
13 ３八銀(39)   ( 0:04/00:00:39)
14 ４二銀(31)   ( 0:21/00:01:16)
15 ３九玉(48)   ( 0:02/00:00:41)
16 ３三銀(42)   ( 0:22/00:01:38)
17 ６八銀(79)   ( 0:10/00:00:51)
18 ４四銀(33)   ( 0:03/00:01:41)
19 ２八玉(39)   ( 0:03/00:00:54)
20 ８五歩(84)   ( 0:02/00:01:43)
21 ７七角(88)   ( 0:03/00:00:57)
22 ６四歩(63)   ( 0:03/00:01:46)
23 ４六歩(47)   ( 0:06/00:01:03)
24 ６三銀(62)   ( 0:02/00:01:48)
25 ５九銀(68)   ( 0:17/00:01:20)
26 ５二金(61)   ( 0:22/00:02:10)
27 ４八銀(59)   ( 0:02/00:01:22)
28 ７四銀(63)   ( 0:22/00:02:32)
29 ５四歩(55)   ( 0:05/00:01:27)
30 ５四歩(53)   ( 0:03/00:02:35)
31 ５四飛(58)   ( 0:02/00:01:29)
32 ６三金(52)   ( 0:02/00:02:37)
33 ４四飛(54)   ( 0:14/00:01:43)
34 ４四歩(43)   ( 0:02/00:02:39)
35 ４五歩(46)   ( 0:01/00:01:44)
36 ５一飛打     ( 0:03/00:02:42)
37 ４四歩(45)   ( 0:06/00:01:50)
38 ４二歩打     ( 0:02/00:02:44)
39 １五歩(16)   ( 0:15/00:02:05)
40 １五歩(14)   ( 0:03/00:02:47)
41 １三歩打     ( 0:01/00:02:06)
42 １三香(11)   ( 0:02/00:02:49)
43 ２五銀打     ( 0:03/00:02:09)
44 ２四歩(23)   ( 0:22/00:03:11)
45 ２四銀(25)   ( 0:02/00:02:11)
46 ３一金(41)   ( 0:02/00:03:13)
47 １二歩打     ( 0:10/00:02:21)
48 ５五歩打     ( 0:03/00:03:16)
49 １三銀(24)   ( 0:29/00:02:50)
50 １三桂(21)   ( 0:22/00:03:38)
51 １一歩成(12)   ( 0:13/00:03:03)
52 １一角(22)   ( 0:22/00:04:00)
53 １四歩打     ( 0:01/00:03:04)
54 ２五桂(13)   ( 0:03/00:04:03)
55 ２六歩(27)   ( 0:02/00:03:06)
56 ４四角(11)   ( 0:22/00:04:25)
57 ２五歩(26)   ( 0:02/00:03:08)
58 ８六歩(85)   ( 0:03/00:04:28)
59 ８六歩(87)   ( 0:04/00:03:12)
60 ８八歩打     ( 0:03/00:04:31)
61 ４七香打     ( 0:19/00:03:31)
62 ７一角(44)   ( 0:22/00:04:53)
63 ４四歩打     ( 0:03/00:03:34)
64 ４一玉(32)   ( 0:22/00:05:15)
65 ４三桂打     ( 0:09/00:03:43)
66 ４三歩(42)   ( 0:22/00:05:37)
67 ４三歩成(44)   ( 0:03/00:03:46)
68 ４二歩打     ( 0:03/00:05:40)
69 ４四歩打     ( 0:14/00:04:00)
70 ８九歩成(88)   ( 0:03/00:05:43)
71 ６八角(77)   ( 0:21/00:04:21)
72 ９九と(89)   ( 0:22/00:06:05)
73 １三角成(68)   ( 0:07/00:04:28)
74 ２六香打     ( 0:22/00:06:27)
75 １八玉(28)   ( 0:09/00:04:37)
76 ３二桂打     ( 0:22/00:06:49)
77 ３六歩(37)   ( 0:27/00:05:04)
78 ２八銀打     ( 0:02/00:06:51)
79 ２四歩(25)   ( 0:18/00:05:22)
80 ２二歩打     ( 0:23/00:07:14)
81 ２三歩成(24)   ( 0:05/00:05:27)
82 ２三歩(22)   ( 0:02/00:07:16)
83 ２三馬(13)   ( 0:02/00:05:29)
84 １九銀成(28)   ( 0:22/00:07:38)
85 １九玉(18)   ( 0:04/00:05:33)
86 ２七歩打     ( 0:02/00:07:40)
87 ３七銀(48)   ( 0:11/00:05:44)
88 ２一香打     ( 0:03/00:07:43)
89 １三歩成(14)   ( 0:19/00:06:03)
90 １六桂打     ( 0:22/00:08:05)
91 １七銀打     ( 0:04/00:06:07)
92 ２三香(21)   ( 0:23/00:08:28)
93 ２三と(13)   ( 0:03/00:06:10)
94 ４四桂(32)   ( 0:02/00:08:30)
95 ４四香(47)   ( 0:25/00:06:35)
96 ４四角(71)   ( 0:02/00:08:32)
97 ３三桂打     ( 0:22/00:06:57)
98 ３三角(44)   ( 0:02/00:08:34)
99 ３三と(23)   ( 0:02/00:06:59)
100 ２八歩成(27)   ( 0:03/00:08:37)
101 ２八銀(17)   ( 0:15/00:07:14)
102 ２八香成(26)   ( 0:02/00:08:39)
103 ２八銀(37)   ( 0:02/00:07:16)
104 ４三歩(42)   ( 0:02/00:08:41)
105 ４三と(33)   ( 0:11/00:07:27)
106 投了
