開始日時：2018/05/08 12:30:10
棋戦：R対局(早指2)
手合割：平手
先手：Hefeweizen(2846)
後手：SShina7(2673)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:22/00:00:22)
2 ３四歩(33)   ( 0:27/00:00:27)
3 ２六歩(27)   ( 0:22/00:00:44)
4 ３二金(41)   ( 0:05/00:00:32)
5 ２五歩(26)   ( 0:22/00:01:06)
6 ３三角(22)   ( 0:02/00:00:34)
7 ３三角成(88)   ( 0:22/00:01:28)
8 ３三金(32)   ( 0:02/00:00:36)
9 ８八銀(79)   ( 0:03/00:01:31)
10 ３二飛(82)   ( 0:03/00:00:39)
11 ５八金(49)   ( 0:22/00:01:53)
12 ６二玉(51)   ( 0:03/00:00:42)
13 ６八玉(59)   ( 0:03/00:01:56)
14 ７二玉(62)   ( 0:01/00:00:43)
15 ７八玉(68)   ( 0:22/00:02:18)
16 ３五歩(34)   ( 0:04/00:00:47)
17 ９六歩(97)   ( 0:22/00:02:40)
18 ９四歩(93)   ( 0:02/00:00:49)
19 ４八銀(39)   ( 0:03/00:02:43)
20 ８二玉(72)   ( 0:03/00:00:52)
21 ７七銀(88)   ( 0:22/00:03:05)
22 ７二銀(71)   ( 0:02/00:00:54)
23 ８八玉(78)   ( 0:23/00:03:28)
24 ４二銀(31)   ( 0:11/00:01:05)
25 ４六歩(47)   ( 0:21/00:03:49)
26 ５四歩(53)   ( 0:08/00:01:13)
27 ４七銀(48)   ( 0:22/00:04:11)
28 ３四金(33)   ( 0:02/00:01:15)
29 １六歩(17)   ( 0:21/00:04:32)
30 ３三桂(21)   ( 0:04/00:01:19)
31 ７八金(69)   ( 0:02/00:04:34)
32 ２五桂(33)   ( 0:15/00:01:34)
33 ９八香(99)   ( 0:03/00:04:37)
34 ２四歩(23)   ( 0:13/00:01:47)
35 ６八金(58)   ( 0:22/00:04:59)
36 ５三銀(42)   ( 0:06/00:01:53)
37 ６六歩(67)   ( 0:22/00:05:21)
38 ４四歩(43)   ( 0:09/00:02:02)
39 ９九玉(88)   ( 0:22/00:05:43)
40 ４二飛(32)   ( 0:04/00:02:06)
41 ２三角打     ( 0:22/00:06:05)
42 ５二角打     ( 0:16/00:02:22)
43 ８八金(78)   ( 0:03/00:06:08)
44 ４五歩(44)   ( 0:29/00:02:51)
45 ４八飛(28)   ( 0:03/00:06:11)
46 ４六歩(45)   ( 0:14/00:03:05)
47 ４六銀(47)   ( 0:22/00:06:33)
48 ４七歩打     ( 0:03/00:03:08)
49 ４七飛(48)   ( 0:22/00:06:55)
50 ４五歩打     ( 0:02/00:03:10)
51 ３四角成(23)   ( 0:03/00:06:58)
52 ３四角(52)   ( 0:03/00:03:13)
53 ３五銀(46)   ( 0:02/00:07:00)
54 ４六歩(45)   ( 0:04/00:03:17)
55 ４九飛(47)   ( 0:22/00:07:22)
56 ４五角(34)   ( 0:02/00:03:19)
57 ４六飛(49)   ( 0:22/00:07:44)
58 ６四角打     ( 0:06/00:03:25)
59 ４三歩打     ( 0:02/00:07:46)
60 ４三飛(42)   ( 0:05/00:03:30)
61 ４四歩打     ( 0:03/00:07:49)
62 ４四銀(53)   ( 0:04/00:03:34)
63 ４五飛(46)   ( 0:02/00:07:51)
64 ４五銀(44)   ( 0:04/00:03:38)
65 ４四金打     ( 0:03/00:07:54)
66 ４二飛(43)   ( 0:26/00:04:04)
67 ４三歩打     ( 0:22/00:08:16)
68 ３二飛(42)   ( 0:01/00:04:05)
69 ４五金(44)   ( 0:03/00:08:19)
70 ４九飛打     ( 0:05/00:04:10)
71 ６五歩(66)   ( 0:03/00:08:22)
72 ５三角(64)   ( 0:05/00:04:15)
73 ４六銀(35)   ( 0:03/00:08:25)
74 ２九飛成(49)   ( 0:09/00:04:24)
75 ５四金(45)   ( 0:22/00:08:47)
76 ７一角(53)   ( 0:03/00:04:27)
77 ４一角打     ( 0:23/00:09:10)
78 ２二飛(32)   ( 0:04/00:04:31)
79 ２三歩打     ( 0:23/00:09:33)
80 １二飛(22)   ( 0:03/00:04:34)
81 ６三金(54)   ( 0:02/00:09:35)
82 ６七歩打     ( 0:15/00:04:49)
83 ７八金(68)   ( 0:22/00:09:57)
84 ４四角(71)   ( 0:02/00:04:51)
85 ５五銀打     ( 0:21/00:10:18)
86 投了
