開始日時：2018/05/08 13:30:44
棋戦：R対局(早指2)
手合割：平手
先手：Q-ZAKU3150(1026)
後手：Hefeweizen(2855)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:06/00:00:06)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:16/00:00:22)
4 １四歩(13)   ( 0:21/00:00:42)
5 ２五歩(26)   ( 0:04/00:00:26)
6 ３二金(41)   ( 0:02/00:00:44)
7 ４八銀(39)   ( 0:03/00:00:29)
8 ７四歩(73)   ( 0:22/00:01:06)
9 ６八銀(79)   ( 0:10/00:00:39)
10 ３四歩(33)   ( 0:23/00:01:29)
11 ６六歩(67)   ( 0:21/00:01:00)
12 ６四歩(63)   ( 0:03/00:01:32)
13 ７八金(69)   ( 0:06/00:01:06)
14 ７二銀(71)   ( 0:02/00:01:34)
15 ２四歩(25)   ( 0:06/00:01:12)
16 ２四歩(23)   ( 0:22/00:01:56)
17 ２四飛(28)   ( 0:02/00:01:14)
18 ２三歩打     ( 0:02/00:01:58)
19 ３四飛(24)   ( 0:03/00:01:17)
20 ６三銀(72)   ( 0:22/00:02:20)
21 ７七角(88)   ( 0:07/00:01:24)
22 ４四角(22)   ( 0:22/00:02:42)
23 ３六飛(34)   ( 0:09/00:01:33)
24 ５四銀(63)   ( 0:23/00:03:05)
25 ６七銀(68)   ( 0:08/00:01:41)
26 ４五銀(54)   ( 0:22/00:03:27)
27 ３八金(49)   ( 0:59/00:02:40)
28 ７二飛(82)   ( 0:21/00:03:48)
29 ３二飛成(36)   ( 0:30/00:03:10)
30 ３二玉(42)   ( 0:21/00:04:09)
31 ６五歩(66)   ( 0:02/00:03:12)
32 ７七角成(44)   ( 0:23/00:04:32)
33 ７七桂(89)   ( 0:21/00:03:33)
34 ８九飛打     ( 0:03/00:04:35)
35 ７九金打     ( 0:08/00:03:41)
36 ９九飛成(89)   ( 0:03/00:04:38)
37 ８八角打     ( 0:06/00:03:47)
38 ８八龍(99)   ( 0:03/00:04:41)
39 ８八金(79)   ( 0:35/00:04:22)
40 ６五歩(64)   ( 0:03/00:04:44)
41 ６五桂(77)   ( 0:09/00:04:31)
42 ４二銀(31)   ( 0:02/00:04:46)
43 ２二歩打     ( 0:04/00:04:35)
44 ２二玉(32)   ( 0:22/00:05:08)
45 ２四歩打     ( 0:30/00:05:05)
46 ２四歩(23)   ( 0:02/00:05:10)
47 ２三歩打     ( 0:09/00:05:14)
48 ３一玉(22)   ( 0:03/00:05:13)
49 ３五飛打     ( 0:11/00:05:25)
50 ３三桂(21)   ( 0:21/00:05:34)
51 ５三桂成(65)   ( 0:35/00:06:00)
52 ３四歩打     ( 0:02/00:05:36)
53 ４五飛(35)   ( 0:12/00:06:12)
54 ４五桂(33)   ( 0:22/00:05:58)
55 ５四銀打     ( 0:02/00:06:14)
56 ９五角打     ( 0:22/00:06:20)
57 ８六歩(87)   ( 0:04/00:06:18)
58 ８六角(95)   ( 0:22/00:06:42)
59 ６八金(78)   ( 0:14/00:06:32)
60 ５三銀(42)   ( 0:22/00:07:04)
61 ５三銀成(54)   ( 0:08/00:06:40)
62 ５三角(86)   ( 0:22/00:07:26)
63 ５四銀打     ( 0:02/00:06:42)
64 ８六角(53)   ( 0:21/00:07:47)
65 ４五銀(54)   ( 0:13/00:06:55)
66 投了
