開始日時：2018/05/08 13:48:42
棋戦：R対局(早指2)
手合割：平手
先手：yuitsu(278)
後手：Hefeweizen(2855)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:02/00:00:04)
4 ３四歩(33)   ( 0:03/00:00:24)
5 ６六歩(67)   ( 0:02/00:00:06)
6 ６四歩(63)   ( 0:21/00:00:45)
7 ６八銀(79)   ( 0:02/00:00:08)
8 ６二飛(82)   ( 0:21/00:01:06)
9 ７七銀(68)   ( 0:03/00:00:11)
10 ７二銀(71)   ( 0:21/00:01:27)
11 ７八金(69)   ( 0:03/00:00:14)
12 ６三銀(72)   ( 0:21/00:01:48)
13 ９六歩(97)   ( 0:04/00:00:18)
14 ５四銀(63)   ( 0:22/00:02:10)
15 ６八飛(28)   ( 0:02/00:00:20)
16 １四歩(13)   ( 0:21/00:02:31)
17 １六歩(17)   ( 0:01/00:00:21)
18 ７四歩(73)   ( 0:21/00:02:52)
19 ６七金(78)   ( 0:08/00:00:29)
20 ８四歩(83)   ( 0:21/00:03:13)
21 ４八銀(39)   ( 0:06/00:00:35)
22 ７三桂(81)   ( 0:22/00:03:35)
23 ８六歩(87)   ( 0:16/00:00:51)
24 ８五歩(84)   ( 0:21/00:03:56)
25 ８五歩(86)   ( 0:09/00:01:00)
26 ８五桂(73)   ( 0:22/00:04:18)
27 ８六歩打     ( 0:08/00:01:08)
28 ８七歩打     ( 0:22/00:04:40)
29 ７九角(88)   ( 0:05/00:01:13)
30 ７七桂(85)   ( 0:22/00:05:02)
31 ７七桂(89)   ( 0:21/00:01:34)
32 ６五歩(64)   ( 0:22/00:05:24)
33 ６五桂(77)   ( 0:17/00:01:51)
34 ６五銀(54)   ( 0:22/00:05:46)
35 ６五歩(66)   ( 0:06/00:01:57)
36 ７七銀打     ( 0:02/00:05:48)
37 ７七金(67)   ( 0:02/00:01:59)
38 ７七角成(22)   ( 0:22/00:06:10)
39 ５八金(49)   ( 0:01/00:02:00)
40 ７八金打     ( 0:02/00:06:12)
41 ９七角(79)   ( 0:13/00:02:13)
42 ６八金(78)   ( 0:22/00:06:34)
43 ６八金(58)   ( 0:01/00:02:14)
44 ６八馬(77)   ( 0:03/00:06:37)
45 ６八玉(59)   ( 0:01/00:02:15)
46 ６五飛(62)   ( 0:06/00:06:43)
47 ６七歩打     ( 0:06/00:02:21)
48 ６九飛打     ( 0:02/00:06:45)
49 ６九玉(68)   ( 0:13/00:02:34)
50 ６七飛成(65)   ( 0:02/00:06:47)
51 投了
