開始日時：2018/05/08 14:08:48
棋戦：R対局(早指)
手合割：平手
先手：TkYuhi(1943)
後手：Hefeweizen(2855)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:04/00:00:04)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:02/00:00:06)
4 ８五歩(84)   ( 0:21/00:00:42)
5 ７八金(69)   ( 0:01/00:00:07)
6 ３二金(41)   ( 0:03/00:00:45)
7 ３八銀(39)   ( 0:03/00:00:10)
8 ７二銀(71)   ( 0:02/00:00:47)
9 ５八玉(59)   ( 0:04/00:00:14)
10 １四歩(13)   ( 0:22/00:01:09)
11 １六歩(17)   ( 0:02/00:00:16)
12 ４二玉(51)   ( 0:22/00:01:31)
13 ９六歩(97)   ( 0:18/00:00:34)
14 ７四歩(73)   ( 0:03/00:01:34)
15 ２四歩(25)   ( 0:03/00:00:37)
16 ２四歩(23)   ( 0:03/00:01:37)
17 ２四飛(28)   ( 0:01/00:00:38)
18 ２三歩打     ( 0:03/00:01:40)
19 ２五飛(24)   ( 0:28/00:01:06)
20 ３四歩(33)   ( 0:22/00:02:02)
21 ２四歩打     ( 0:23/00:01:29)
22 ２四歩(23)   ( 0:03/00:02:05)
23 ２四飛(25)   ( 0:02/00:01:31)
24 ８六歩(85)   ( 0:03/00:02:08)
25 ８六歩(87)   ( 0:02/00:01:33)
26 ８六飛(82)   ( 0:03/00:02:11)
27 ８七歩打     ( 0:01/00:01:34)
28 ８五飛(86)   ( 0:03/00:02:14)
29 ７六歩(77)   ( 0:25/00:01:59)
30 ７三桂(81)   ( 0:22/00:02:36)
31 ３四飛(24)   ( 0:10/00:02:09)
32 ２五飛(85)   ( 0:22/00:02:58)
33 ２七歩打     ( 0:07/00:02:16)
34 ２六歩打     ( 0:02/00:03:00)
35 ２六歩(27)   ( 0:28/00:02:44)
36 ２六飛(25)   ( 0:22/00:03:22)
37 ２七歩打     ( 0:23/00:03:07)
38 ７六飛(26)   ( 0:22/00:03:44)
39 ２二角成(88)   ( 0:03/00:03:10)
40 ２二銀(31)   ( 0:03/00:03:47)
41 ７七桂(89)   ( 0:02/00:03:12)
42 ２八歩打     ( 0:23/00:04:10)
43 １七桂(29)   ( 0:02/00:03:14)
44 ２三銀(22)   ( 0:03/00:04:13)
45 ３五飛(34)   ( 0:27/00:03:41)
46 ４四角打     ( 0:22/00:04:35)
47 ３二飛成(35)   ( 0:22/00:04:03)
48 ３二銀(23)   ( 0:04/00:04:39)
49 ６六金打     ( 0:07/00:04:10)
50 ６六角(44)   ( 0:03/00:04:42)
51 ６六歩(67)   ( 0:02/00:04:12)
52 ３三桂(21)   ( 0:02/00:04:44)
53 投了
