開始日時：2018/05/08 14:29:43
棋戦：R対局(早指)
手合割：平手
先手：ryouko makoto(615)
後手：Hefeweizen(2855)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:02/00:00:04)
4 ８四歩(83)   ( 0:21/00:00:42)
5 ２五歩(26)   ( 0:02/00:00:06)
6 ８五歩(84)   ( 0:21/00:01:03)
7 ７八金(69)   ( 0:02/00:00:08)
8 ４二玉(51)   ( 0:22/00:01:25)
9 ２四歩(25)   ( 0:01/00:00:09)
10 ２四歩(23)   ( 0:03/00:01:28)
11 ２四飛(28)   ( 0:01/00:00:10)
12 ３二金(41)   ( 0:02/00:01:30)
13 ２六飛(24)   ( 0:03/00:00:13)
14 ２三歩打     ( 0:21/00:01:51)
15 ３八銀(39)   ( 0:01/00:00:14)
16 １四歩(13)   ( 0:02/00:01:53)
17 １六歩(17)   ( 0:01/00:00:15)
18 ６二銀(71)   ( 0:22/00:02:15)
19 ６九玉(59)   ( 0:01/00:00:16)
20 ６四歩(63)   ( 0:22/00:02:37)
21 ３六歩(37)   ( 0:01/00:00:17)
22 ７四歩(73)   ( 0:03/00:02:40)
23 ３七桂(29)   ( 0:01/00:00:18)
24 ８六歩(85)   ( 0:21/00:03:01)
25 ８六歩(87)   ( 0:02/00:00:20)
26 ８六飛(82)   ( 0:21/00:03:22)
27 ８七歩打     ( 0:01/00:00:21)
28 ７六飛(86)   ( 0:22/00:03:44)
29 ２二角成(88)   ( 0:07/00:00:28)
30 ２二銀(31)   ( 0:02/00:03:46)
31 ８八銀(79)   ( 0:01/00:00:29)
32 ７五飛(76)   ( 0:22/00:04:08)
33 ７七銀(88)   ( 0:01/00:00:30)
34 ７三桂(81)   ( 0:22/00:04:30)
35 ４六歩(47)   ( 0:01/00:00:31)
36 ４四角打     ( 0:22/00:04:52)
37 ２九飛(26)   ( 0:04/00:00:35)
38 ６五桂(73)   ( 0:03/00:04:55)
39 ６六銀(77)   ( 0:02/00:00:37)
40 ６六角(44)   ( 0:22/00:05:17)
41 ６六歩(67)   ( 0:01/00:00:38)
42 ５七桂成(65)   ( 0:03/00:05:20)
43 ５八歩打     ( 0:04/00:00:42)
44 ６七銀打     ( 0:22/00:05:42)
45 ７七角打     ( 0:06/00:00:48)
46 ７七飛成(75)   ( 0:23/00:06:05)
47 ７七桂(89)   ( 0:02/00:00:50)
48 ７八銀成(67)   ( 0:02/00:06:07)
49 ７八玉(69)   ( 0:03/00:00:53)
50 ５六角打     ( 0:02/00:06:09)
51 ８八玉(78)   ( 0:02/00:00:55)
52 ８九金打     ( 0:02/00:06:11)
53 ９八玉(88)   ( 0:02/00:00:57)
54 ７八角成(56)   ( 0:02/00:06:13)
55 投了
